Sample,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
Jurkat only,15.83359572,-23.55202528,14.35889832,-8.832337397,-5.837538971,-1.200006696,-0.903383203,1.793246016,3.49774746,1.699488184
Jurkat only,14.84788224,-12.23313714,10.86904467,-0.752899849,-10.67844438,6.547934945,-2.637891614,-0.43970822,-3.173346977,3.606932741
Jurkat only,12.17585621,-24.06250686,-0.253852666,1.380780052,-2.094561872,-0.069955936,2.145808273,-4.109190913,-1.828768456,3.769714793
Jurkat only,10.66319134,-14.82730524,0.908115747,5.940371552,4.485607747,1.814340522,3.189242312,-0.311602622,-0.267814115,1.103910725
Jurkat only,13.98477719,-15.37051748,11.74901165,-7.057100907,3.137861296,-12.35827389,6.927369939,2.9504607,6.962514232,3.305364595
Jurkat only,12.55445261,-14.94170077,8.852160542,-2.555840971,-3.783028799,2.104439778,-3.530616414,0.82984466,5.337031379,-4.362734925
Jurkat only,12.29788174,-23.1181336,-2.492274569,3.936590704,-8.532959421,3.437681305,-1.682878579,-0.109696978,-2.373393103,-4.157803402
Jurkat only,15.95012376,1.524974003,18.98882383,-4.685765927,-8.895653207,6.521891393,-4.435844072,-0.634775672,1.808411985,6.035980022
Jurkat only,15.05029248,-6.612575802,8.615830183,6.719557106,-9.0595071,8.107567673,1.273791274,-0.589772746,-3.528066728,1.435099873
Jurkat only,14.28378097,-16.89226861,7.457986268,7.220952373,-9.363721146,0.677762524,0.731658745,-0.558187977,-4.339834127,-2.537585762
Jurkat only,13.09096198,-13.53841663,6.500441443,4.528435465,5.774301221,-4.599834727,0.358343062,-0.696306409,1.144820764,1.047413323
Jurkat only,14.64696782,-15.21783893,10.75550192,6.617988342,2.249250566,-3.644650779,-2.284164818,-0.041596441,-1.018302743,7.383918651
Jurkat only,15.90031277,-10.54524485,9.44713225,8.087341102,-10.69000314,1.991488996,0.991128495,-0.650073242,-4.883137043,-1.038686337
Jurkat only,12.9835026,-17.58608769,1.374933821,6.250770892,1.94169826,-1.480093752,0.259297333,-0.612862017,-0.934079426,1.111490969
Jurkat only,11.93146172,-28.03602046,0.36238027,4.248748765,3.152423961,5.653370905,2.124718312,-0.477386629,-3.200710017,-0.560800687
Jurkat only,13.30551769,-17.32587322,12.76134009,6.182501893,-1.044573829,-4.221491694,-3.02709365,0.96561127,6.468710499,4.67498474
Jurkat only,14.52318492,-13.49562359,16.62579352,-1.338331525,-6.732803573,3.611404228,-3.099919712,0.285189498,5.711034278,-9.741910788
Jurkat only,13.66659087,-14.53339961,9.509955897,8.30360807,-1.883802509,-5.268558927,-4.424627793,0.244248728,0.450335239,2.114018243
Jurkat only,12.74324996,-22.9114233,0.078871901,6.994695598,-4.041869897,-0.646348306,-0.486087774,-0.700272188,-6.66149643,0.366045753
Jurkat only,13.4249294,-17.6636622,5.594650199,-7.495356157,0.191558889,-0.516207801,-3.359476525,0.949216604,2.462829311,-3.298115086
Jurkat only,12.27025183,-32.92883004,-1.748216192,-1.971320833,3.417269746,4.715692935,0.509090781,1.28100066,5.353999592,-0.166467723
Jurkat only,14.1224733,-20.93327817,15.75122593,-0.23382895,-13.02541452,1.280216341,-6.906869761,-0.121511582,1.670715746,2.934455226
Jurkat only,12.8292305,-21.9482751,-8.509304192,1.225128129,-8.506775917,6.546180932,-3.212108093,0.718106784,2.940958261,3.655975363
Jurkat only,13.69496738,-14.37238553,12.11765083,8.391207119,-6.882157535,-2.3438991,4.44424257,-0.110505565,-1.079284642,0.641207737
Jurkat only,15.46920935,-15.07513264,13.98961161,-9.365476943,-3.699384439,-0.16418838,2.592076761,0.338866254,0.215614434,-1.832431869
Jurkat only,15.56410668,-15.57055622,9.969743846,-2.983186155,-11.41469562,-3.994694717,-3.8693636,0.444615899,4.29103791,-3.737028932
Jurkat only,10.84846197,-19.45925099,-3.240322623,6.753878365,-5.091511304,0.943518545,-1.421216142,0.051021492,-1.302656412,1.281570573
Jurkat only,12.89347069,-34.0684307,4.128456561,-8.009326356,0.7943329,9.025173933,-5.157990499,1.398641074,6.14272741,7.214624966
Jurkat only,15.14714719,-8.427415906,8.034017763,8.684438388,6.00240268,1.561438621,9.123148027,-0.270625964,-1.340859678,3.646476357
Jurkat only,11.26735142,-19.42584343,-1.36770089,6.515571142,-4.852148704,-3.496587112,-1.433724597,-0.023499032,6.232397086,0.087301978
Jurkat only,14.69512282,-15.21072476,6.015446008,0.071151219,-18.85336384,3.617623233,-2.251965496,1.085230269,12.73965428,3.763623012
Jurkat only,13.38569845,-15.8308967,3.877907416,5.451492687,4.039003054,-7.429387365,1.453635229,0.108223864,6.426712309,-6.04276919
Jurkat only,14.93259469,-11.9697588,0.769070634,8.288823173,-5.629641036,1.746701724,-0.003200726,-0.872152596,-5.921072292,-1.417629395
Jurkat only,13.70422638,-16.4403865,12.8188109,-0.208227897,1.154854643,1.865777552,-4.82940152,0.603903301,4.559421232,2.726140054
Jurkat only,13.45831182,-15.064647,8.558661636,-0.78944984,4.677434426,-3.873664084,-4.997568139,0.223247808,3.086420976,0.028279808
Jurkat only,14.86073091,-15.55766737,7.275737372,8.493624816,-1.906380891,-4.090639981,3.039646674,-0.13784485,-0.928275805,0.138909735
Jurkat only,15.08192847,-12.17076128,8.102071583,7.265420033,-0.449408678,4.095217092,1.455084853,-1.117629085,-1.245758358,1.733879948
Jurkat only,12.13919967,-18.30488111,1.893593237,5.143431827,-0.922742119,4.599506671,6.517089095,-0.298602844,-4.175438341,-0.212190579
Jurkat only,14.4666116,-13.54875625,6.551225023,9.471676078,2.693010793,2.506850369,-2.445279979,-0.425711271,1.470587551,4.755815839
Jurkat only,14.78660147,-15.75853753,4.093043099,-0.154322424,-5.774654865,-11.77220109,-4.23059849,0.936145739,0.773420806,2.971583748
Jurkat only,13.04547624,-29.7441271,2.806921548,-0.855336229,5.383085565,-2.112298485,-1.885007753,-2.716520887,-0.100429328,3.378158387
Jurkat only,15.53681073,-8.569119338,16.26694014,0.167394966,-6.21610234,-2.482015945,-8.948021004,0.137862639,0.868731736,1.502669302
Jurkat only,14.8580512,-18.58037389,-5.208224666,4.75517599,-11.5794537,-1.713769433,-3.12420904,-0.590829955,3.878504784,-7.823685205
Jurkat only,13.45428616,-16.30386909,4.621409374,5.960868347,-3.125030708,-7.102901245,-2.790406865,0.353394222,-1.193615838,4.378480619
Jurkat only,12.44962636,-12.90769032,4.848355899,4.908906561,-5.159413156,-3.190666692,3.5263529,1.048099385,3.95270599,-3.633145446
Jurkat only,13.87657261,-7.664502888,11.96891614,-0.969222414,0.747490998,9.952965476,3.731424801,0.083376521,5.1421958,0.728453202
Jurkat only,15.74321297,-15.13110355,12.07901124,1.083988441,-3.120528885,-9.921186001,-5.557416199,0.510644784,-1.53639545,5.403458639
Jurkat only,11.38710339,-18.10521689,3.585832641,5.903083987,-8.394365847,5.798465706,1.806035402,0.619568228,3.138655681,-6.593183584
Jurkat only,12.55851821,-20.95578467,6.381626063,8.094285324,1.001468824,-1.369394844,4.822754418,0.40961734,2.908541152,1.278434428
Jurkat only,13.70003839,-18.50964068,13.19424453,-5.054006782,1.805582955,7.273881831,-3.932877324,0.329560605,1.893793646,-0.376029571
Jurkat only,13.80606411,-14.32028203,11.85764844,-1.502589404,-4.462066714,4.128617179,-5.564669246,-0.454007397,-2.106732937,1.026361432
Jurkat only,12.40020428,-8.195537252,14.82457817,7.690222416,8.170490369,0.440319643,1.034127854,0.309734406,2.680673637,3.240126491
